"X","Y","species","ID","diam1","status.x","diam2","status.y","growth","surv","size_class","n_con","n_het","BAc5","BAh5","BAc10","BAh10","BAc15","BAh15","BAc20","BAh20","gap","myc","shade","drought","waterlogging","diameter","count","habit","ph","tec","org","alt","tecat","camg","cations"
84.3,66.9,"CECA",3368,2,1,3.7,1,0.2125,1,"seed",0,0,10.17876,4007.706,17.72644,11221.58,24.79502,22763.38,42.45862,35336.81,25.10393,"am",3,4.05,1.31,2.754654,924,"shrub-tree",6.285597,12.35759,7.942996,0.757914496663896,88.6449098084211,6.49604307595,0.0210649727839226
84.4,50.4,"COFL",3339,5.1,1,6,1,0.1125,1,"sap",0,2,0,2653.75,0,12031.84,126.6769,21260.51,126.6769,42421.81,26.60892,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.211915,12.2819,8.020266,1.00482354135806,86.7410560089093,6.5715122924443,0.0132240710575285
84.7,124.1,"LITU",3484,12.1,1,12,1,-0.0125,1,"sap",0,7,3504.635,0,5932.584,1347.138,25323.59,9290.514,29419.81,19561.54,21.22559,"am",2.07,2.6,1.3,6.188298,94,"tree",6.497856,11.72101,7.820975,0.947300773032135,91.5727395016237,5.99321590922502,0.0409042059892426
84.7,199.2,"CACR",3647,3.2,1,5.2,6,0.25,1,"sap",6,3,0,3073.271,0,10523.94,0,19235.1,0,38221.66,30.60747,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.659619,9.374839,8.023369,1.01003312321148,73.6315206195025,4.94108482849173,-0.0308516111437938
84.7,205.4,"CACR",3648,5.5,1,7.2,1,0.2125,1,"sap",9,3,0,5605.968,0,9069.503,0,20403.29,0,36548.45,33.19943,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.585156,9.13274,8.057959,1.09899383291481,71.6556709115095,4.84719599277833,-0.0367643341578508
84.8,106.7,"ACRU",3449,5.6,1,NA,2,NA,0,"sap",0,2,0,4432.19,0,12080.5,0,32500.77,0,47463.65,24.90374,"am",3.44,1.84,3.08,3.795745,1927,"tree",6.425036,12.09586,7.8318,0.842999166313472,90.687152312714,6.18603939366898,0.0343660496869045
84.9,88.7,"CECA",3405,3.7,1,3.6,6,-0.0125,1,"sap",2,2,0,2885.749,0,7427.99,0,20112.43,0,38166.72,23.79216,"am",3,4.05,1.31,2.754654,924,"shrub-tree",6.352397,12.31496,7.86627,0.745117592804515,89.6050820791439,6.35320894391329,0.0281482530820317
85,127.3,"COFL",3485,3.3,1,3.8,1,0.0625,1,"sap",4,2,0,0,0,8353.707,0,32011.89,0,48165.63,20.2757,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.492829,11.64907,7.819239,0.978418965531557,91.4122210295477,5.95859025836265,0.0406339465395756
85,195.1,"CACR",3649,2.2,1,3.5,1,0.1625,1,"seed",3,0,41.95597,2875.649,289.9062,9873.068,692.2814,20655.81,1179.511,39649.12,30.05741,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.713891,9.52861,7.999404,0.975303502352625,74.9986656446536,5.00589885262846,-0.0271012054866933
85.1,93.1,"LITU",3406,2.1,1,NA,3,NA,0,"seed",0,1,295.9694,2789.915,3005.672,7584.103,5112.785,13120.3,9688.876,28672.26,24.23202,"am",2.07,2.6,1.3,6.188298,94,"tree",6.367013,12.27897,7.854363,0.776132019788386,89.7943378147948,6.31849769484103,0.0299658562430897
85.1,197.2,"CACR",3650,2.7,1,3.5,1,0.1,1,"sap",4,2,0,1041.454,0,12378.52,0,18713.15,0,36147.79,30.33759,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.686428,9.447864,8.009359,0.998786903040577,74.3094739604645,4.97497898626622,-0.0289837733465457
85.1,235.8,"PRSE",3746,3,1,4.9,1,0.2375,1,"sap",0,4,0,969.5112,0,10737.73,0,23461.44,0,40692.91,37.81346,"am",2.46,3.02,1.06,2.219375,160,"shrub-tree",5.293576,8.112577,8.261337,1.90281582673125,63.9538833055656,4.39795796403448,-0.0698539684884118
85.2,63.5,"COFL",3340,2.1,1,3.7,1,0.2,1,"seed",0,0,0,4539.295,7.068583,10512.33,295.0348,22472.24,561.6304,42150.04,24.77822,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.284923,12.32457,7.952955,0.849834179501683,88.5622718609988,6.5260571962009,0.0199895977874812
85.2,184.1,"CACR",3602,2,1,4,1,0.25,1,"seed",0,0,0,812.1881,54.14535,6703.813,176.6675,24548.78,406.7184,44812.51,28.488,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.93757,9.927763,7.946179,0.920828274142931,80.2297576884399,5.1738336448691,-0.0106530323165739
85.2,216.7,"CACR",3701,2.2,1,4.2,1,0.25,1,"seed",0,0,48.95387,0,268.3548,10758.09,554.499,25379.62,954.9735,45343.2,40.59201,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.537117,8.689914,8.123257,1.34545411651499,70.4997707757785,4.68086605224083,-0.0427596449086178
85.3,90.2,"COFL",3407,2.4,1,2.6,1,0.025,1,"seed",0,2,7.068583,4818.174,7.068583,7993.673,94.67189,19556.51,281.3296,36283.38,23.87347,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.355144,12.30259,7.860157,0.77612190726463,89.6270068995914,6.34588823954462,0.0285768116940033
85.3,167.4,"CATO",3571,10.8,1,11.5,1,0.0875,1,"sap",0,2,0,1002.294,0,11505.86,208.6724,24724.37,208.6724,43693.09,26.06033,"ecm",2.2,3,1.26,3.308163,147,"tree",6.141173,10.48239,7.883532,0.942629066525112,85.0308940392996,5.42217314269598,0.0121757195776156
85.3,207.7,"CACR",3651,2.5,1,2.7,1,0.025,1,"seed",1,0,129.9284,3409.963,558.7244,8199.863,973.3597,25987.16,1303.667,39631.16,35.2726,"ecm",4.58,2.02,2.3,3.496869,543,"shrub-tree",5.577174,9.036281,8.066192,1.15502286401589,71.454868285469,4.81750057861818,-0.037419905069757
85.4,113.2,"COFL",3486,9.2,1,9.1,1,-0.0125,1,"sap",2,0,0,4153.272,0,16493.44,0,30075.94,0,51850.01,24.26925,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.462129,11.98557,7.821097,0.925204389067394,91.2359750642516,6.12520841683401,0.0370831581700844
85.4,174.6,"COFL",3572,3.6,1,3.9,1,0.0375,1,"sap",4,2,0,2206.482,0,13782.64,0,27322.14,0,37717.87,26.46061,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.119004,10.2505,7.906953,0.92704265982053,84.4126322730435,5.31752954871817,0.00550676420053108
85.4,174.7,"COFL",3573,2.6,1,3.1,1,0.0625,1,"sap",4,2,0,2206.482,0,13782.64,0,27322.14,0,39689.22,26.47535,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.118092,10.2472,7.907315,0.926865071125839,84.3906418892778,5.31604968268182,0.00538524972753428
85.4,203.2,"COFL",3652,3.6,1,NA,2,NA,0,"sap",1,9,0,2206.183,126.6769,8971.925,126.6769,21909.15,126.6769,38663.02,32.07638,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",5.621003,9.212189,8.03931,1.08326804470831,72.6095824895404,4.88659921041596,-0.0336639279859896
85.5,168.5,"MORU",3574,4.5,1,NA,4,NA,1,"sap",0,2,0,1002.294,0,13368.97,0,28818.91,0,41202.58,26.08606,"am",2.34,2.88,1.57,2.919271,192,"tree",6.142948,10.44977,7.885429,0.946746992532443,85.0446281474441,5.40822408499518,0.0114071743584761
85.5,174.7,"COFL",3575,5.6,1,NA,2,NA,0,"sap",4,2,0,2206.482,0,13782.64,0,27322.14,0,37717.87,26.49532,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.118284,10.24777,7.906519,0.930480694303789,84.3916877042109,5.31705925760016,0.00538476381544164
85.6,79.9,"NYSY",3369,2.3,1,3.3,1,0.125,1,"seed",0,0,20.01195,341.5618,33.21449,7818.411,96.83174,22374.57,164.5723,37854.87,24.82466,"other",3.52,2,1.87,4.075186,403,"tree",6.333355,12.34484,7.888122,0.778024682487899,89.3870509517993,6.43009723458162,0.024849652128512
85.6,85.9,"COFL",3408,3,1,3.5,1,0.0625,1,"sap",0,7,0,1011.664,0,6252.076,0,18597.33,0,34450.77,23.87807,"am",4.87,2.92,1.1,3.821149,2681,"shrub-tree",6.343451,12.32656,7.869908,0.782104778325787,89.4850882581818,6.38480642712471,0.0267801184948264
